# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug 25 11:50:53 2020
# diag: spectra, run(s): 0017, time window: 0-139.27515(19 steps), species: neon
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
# kxind = -1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
# sqrt(sum(<|n/n0|^2>)) = 0%
# sqrt(sum(<|Tpar/Tpar0|^2>)) = 0%
# sqrt(sum(<|Tperp/Tperp0|^2>)) = 0%
# sqrt(sum(<|qpar/qpar0|^2>)) = 0%
# sqrt(sum(<|qperp/qperp0|^2>)) = 0%
# sqrt(sum(<|upar/upar0|^2>)) = 0%
#  ky         phi         n           Tpar        Tperp       qpar        qperp       upar      
  1.1570E+00  2.3336E-01  1.1387E+02  9.4239E+00  1.6852E+00  5.3486E-01  2.5531E-01  2.5177E-01
  1.2096E+00  2.0361E-01  1.0570E+02  9.2020E+00  1.5847E+00  5.1395E-01  2.4265E-01  2.4124E-01
  1.2622E+00  1.8526E-01  1.0022E+02  8.9191E+00  1.6238E+00  4.8217E-01  2.2658E-01  2.2697E-01
  1.3148E+00  1.5186E-01  9.7875E+01  8.6135E+00  1.5524E+00  4.6183E-01  2.1671E-01  2.1752E-01
  1.3674E+00  1.3439E-01  9.1787E+01  8.0792E+00  1.5673E+00  4.5020E-01  2.1143E-01  2.1265E-01
  1.4199E+00  1.2040E-01  8.7004E+01  7.8101E+00  1.4824E+00  4.2543E-01  1.9878E-01  2.0084E-01
  1.4725E+00  1.0309E-01  8.4623E+01  7.6396E+00  1.4388E+00  4.1961E-01  1.9466E-01  1.9768E-01
  1.5251E+00  9.3175E-02  8.0850E+01  7.3247E+00  1.4773E+00  3.9566E-01  1.8349E-01  1.8674E-01
  1.5777E+00  8.2000E-02  7.8234E+01  7.0540E+00  1.4128E+00  3.8315E-01  1.7692E-01  1.8105E-01
  1.6303E+00  7.4028E-02  7.6136E+01  6.7729E+00  1.4198E+00  3.5978E-01  1.6539E-01  1.7017E-01
  1.6829E+00  6.6126E-02  7.3440E+01  6.7239E+00  1.4086E+00  3.4645E-01  1.5951E-01  1.6421E-01
  1.7355E+00  5.8320E-02  6.9907E+01  6.5162E+00  1.3437E+00  3.3523E-01  1.5223E-01  1.5801E-01
  1.7881E+00  5.1514E-02  6.8068E+01  6.3841E+00  1.3289E+00  3.2874E-01  1.5036E-01  1.5594E-01
  1.8407E+00  4.6102E-02  6.5691E+01  6.2277E+00  1.3323E+00  3.1892E-01  1.4494E-01  1.5137E-01
  1.8933E+00  4.1816E-02  6.2908E+01  6.0285E+00  1.3203E+00  3.0498E-01  1.3689E-01  1.4410E-01
  1.9458E+00  3.6428E-02  5.9477E+01  5.7512E+00  1.2967E+00  3.0360E-01  1.3628E-01  1.4366E-01
  1.9984E+00  3.3024E-02  5.8891E+01  5.6667E+00  1.3087E+00  2.8832E-01  1.2919E-01  1.3689E-01
  2.0510E+00  3.0319E-02  5.6133E+01  5.5961E+00  1.3048E+00  2.8522E-01  1.2644E-01  1.3499E-01
  2.1036E+00  2.6666E-02  5.5363E+01  5.5323E+00  1.2779E+00  2.7769E-01  1.2352E-01  1.3194E-01
  2.1562E+00  2.3055E-02  5.3871E+01  5.3174E+00  1.3343E+00  2.6467E-01  1.1725E-01  1.2593E-01
  2.2088E+00  2.2742E-02  5.3207E+01  5.3574E+00  1.3621E+00  2.6450E-01  1.1550E-01  1.2535E-01
  2.2614E+00  2.1415E-02  5.2250E+01  5.3796E+00  1.3681E+00  2.5815E-01  1.1289E-01  1.2274E-01
  2.3140E+00  1.8001E-02  5.2603E+01  5.2392E+00  1.3979E+00  2.5963E-01  1.1247E-01  1.2284E-01
  2.3666E+00  1.7059E-02  5.0757E+01  5.1493E+00  1.4403E+00  2.6026E-01  1.1266E-01  1.2379E-01
  2.4192E+00  1.6635E-02  4.9456E+01  5.1750E+00  1.4690E+00  2.6321E-01  1.1335E-01  1.2496E-01
  2.4717E+00  1.5710E-02  4.9228E+01  5.1875E+00  1.5626E+00  2.6587E-01  1.1371E-01  1.2601E-01
